Year,Winners,Runners-up,Player of the tournament
2018,France,Croatia,Luka Modric
2014,Germany,Argentina,Lionel Messi
2010,Spain,Netherlands,Diego Forlán
2006,Italy,France,Zinedine Zidane
2002,Brazil,Germany,Oliver Kahn
1998,France,Brazil,Ronaldo
1994,Brazil,Italy,Romário
1990,West Germany,Argentina,Salvatore Schillaci
1986,Argentina,West Germany,Diego Maradona
1982,Italy,West Germany,Paolo Rossi
1978,Argentina,Netherlands,Kempes
1974,West Germany,Netherlands,Johan Cruyff
1970,Brazil,Italy,Pelé
1966,England,West Germany,Bobby Charlton
1962,Brazil,Czechoslovakia,Garrincha
1958,Brazil,Sweden,Didi
1954,West Germany,Hungary,Ferenc Puskás
1950,Uruguay,Brazil,Zizinho
1938,Italy,Hungary,Leônidas
1934,Italy,Czechoslovakia,Meazza
1930,Uruguay,Argentina,Nasazzi
